Year,Mileage,EngineSize,Horsepower,FuelType,Price
2020,5000,1.5,120,0,22000
2018,25000,2.0,150,0,18500
2015,60000,1.8,140,0,12000
2021,2000,2.5,200,0,35000
2017,40000,1.6,130,0,14500
2019,15000,2.0,160,1,26000
2016,55000,1.4,110,0,10500
2022,1000,3.0,250,0,45000
2014,80000,1.6,125,1,9000
2020,10000,2.2,180,0,28000
2013,95000,1.4,105,0,7500
2018,30000,1.8,145,1,19000
2021,5000,2.0,170,0,32000
2017,45000,2.5,190,1,16000
2015,70000,1.5,115,0,11000
2022,3000,2.0,165,0,38000
2016,50000,1.8,135,0,12500
2019,20000,2.5,200,1,29000
2014,85000,1.6,120,0,8500
2020,8000,1.6,130,0,24000
2013,100000,2.0,150,1,8000
2021,4000,3.0,260,0,42000
2018,35000,1.5,120,0,16500
2017,42000,2.0,155,1,15500
2019,18000,1.8,140,0,23000
2022,500,2.5,210,0,41000
2015,65000,1.6,125,0,11500
2016,48000,2.0,150,1,13500
2020,12000,2.5,195,0,30000
2014,90000,1.8,130,0,9500
