Engine_CC,Horsepower,Weight_kg,Mileage_km,Car_Age_years,Num_Owners,Price_USD
1198,82,1050,45000,3,1,12500
1497,118,1200,32000,2,1,18200
1999,148,1400,78000,5,2,15800
2497,175,1600,12000,1,1,32500
998,68,900,95000,7,3,6800
1396,105,1100,55000,4,2,11200
2998,245,1750,25000,2,1,45000
1598,128,1250,67000,6,2,13500
1197,83,980,110000,8,3,5200
1798,140,1350,38000,3,1,21000
2199,165,1500,52000,4,1,24500
1086,75,950,125000,10,4,4100
1498,120,1180,28000,1,1,19800
3498,280,1900,15000,1,1,55000
1199,88,1020,72000,5,2,9500
1396,108,1130,48000,3,1,14200
1998,150,1380,85000,7,3,12000
2496,178,1580,30000,2,1,28000
799,55,850,140000,12,4,3200
1598,132,1270,42000,3,1,17500
2998,250,1780,60000,5,2,35000
1197,80,990,88000,6,3,7200
1498,115,1190,35000,2,1,16800
1796,138,1330,95000,8,3,10500
2199,168,1520,18000,1,1,27000
1086,72,940,108000,9,3,5800
3498,285,1920,8000,0,1,62000
1598,125,1240,75000,6,2,11800
1396,102,1110,62000,5,2,10200
998,65,890,130000,11,4,3800
1999,152,1410,22000,1,1,25500
2497,180,1620,45000,3,1,29000
1197,85,1010,98000,7,3,6500
1498,122,1200,40000,3,1,15500
1798,142,1360,58000,4,2,19200
2998,248,1770,35000,3,1,42000
1086,70,930,115000,9,4,4800
1598,130,1260,50000,4,2,14800
2199,162,1490,70000,5,2,20500
799,58,860,105000,8,3,4500
1396,110,1150,20000,1,1,16200
1999,155,1430,40000,3,1,22000
2496,172,1570,55000,4,2,26500
1197,78,970,120000,10,4,4200
3498,290,1940,18000,1,1,58000
1498,118,1185,65000,5,2,12200
1798,145,1370,30000,2,1,23500
998,62,880,85000,7,3,5500
2199,170,1510,42000,3,1,25000
1598,126,1245,90000,7,3,9800
