Area,Bedrooms,Age,DistanceToCity,HasGarage,Price
1500,3,10,5,1,245000
1200,2,15,8,0,185000
1800,4,5,3,1,320000
950,2,20,12,0,135000
2100,4,3,2,1,410000
1600,3,8,6,1,275000
1100,2,25,15,0,148000
2400,5,2,1,1,465000
1350,3,12,7,0,210000
1750,3,7,4,1,305000
1000,2,18,10,0,155000
2000,4,4,3,1,385000
1450,3,11,6,1,240000
1650,3,9,5,1,285000
900,1,30,20,0,120000
2200,4,1,2,1,430000
1300,2,14,9,0,195000
1550,3,6,4,1,265000
1900,4,5,3,1,350000
1050,2,22,13,0,145000
2300,5,3,1,1,450000
1400,3,10,7,1,225000
1700,3,8,5,1,295000
1150,2,19,11,0,165000
2050,4,4,2,1,395000
1250,2,16,9,0,180000
1500,3,12,6,0,230000
1850,4,6,4,1,330000
1600,3,7,5,1,270000
1950,4,3,2,1,370000
