Temperature_C,IceCreamSales
5.2,180
6.1,195
7.0,210
7.8,230
8.5,220
9.3,255
10.1,270
10.8,290
11.6,310
12.4,305
13.2,340
14.0,365
14.9,380
15.7,410
16.5,430
17.3,445
18.1,480
18.9,510
19.7,530
20.5,555
21.4,590
22.2,620
23.0,650
23.8,680
24.6,720
25.4,740
26.2,780
27.1,810
27.9,835
28.7,870
29.5,890
30.3,920
31.1,940
31.9,960
32.8,970
33.6,975
34.4,965
35.2,950
36.0,930
36.8,900
37.6,870
38.5,830
39.3,785
40.1,740
41.0,690
41.8,635
42.6,580
43.4,520
44.2,455
45.0,390
5.8,190
6.7,215
8.0,235
9.0,250
10.5,285
11.2,300
12.8,330
13.7,355
15.0,390
16.0,420
17.0,455
18.5,495
19.2,520
20.0,545
21.0,575
22.8,640
23.5,665
24.2,700
25.0,730
26.8,795
27.5,820
28.2,850
29.0,880
30.0,910
31.5,950
32.3,965
33.0,975
34.0,970
35.8,940
36.5,910
37.0,880
38.0,845
39.0,800
40.5,720
41.5,660
42.0,610
43.0,545
44.0,475
44.8,410
7.5,225
9.8,265
12.0,315
14.5,370
17.8,470
20.2,550
23.2,655
26.5,770
29.8,895
33.2,975
36.2,920
39.8,760
43.8,490
